,ریشه,ستاک گذشته,ستاک حال,گفتار,نوشتار,گذرایی,معنی,اسم ابزار,پیشوند,گذشته محاوره,حال محاوره
0,آجیدن,آجید,آجین,False,True,گذرا,سوراخ و دندانه دار کردن ، بخیه زدن,False,,,
1,آچاردن,آچارد,آچار,False,True,,چاشنی و آچار به خوراک زدن، آمیختن، ترکیب کردن[۲۹],False,,,
2,آختن,آخت,آهنج یا آهاز,False,؟,,بیرون کشیدن,False,,,
3,آراستن,آراست,آرای,False,True,گذرا,آرایش دادن,False,,,
4,آرَستن,آرست,؟,؟,؟,,,False,,,
5,آرِستن,آرست,آر,؟,؟,,,False,,,
6,آردن,آرد,آر,؟,True,,,False,,,
7,آزدن,آزد,آز,False,True,,,False,,,
8,آزردن,آزرد,آزار,True,True,گذرا,,False,,,
9,آزمودن,آزمود,آزمای,؟,True,گذرا,,False,,,
10,آژدَن,آژد,آژن,False,True,,,False,,,
11,آژَندن,آژند,آژن,False,True,گذرا,,False,,,
12,آژَندیدن,آژندید,آژن,False,True,گذرا,,False,,,
13,آژیریدن[۳۰],آژیرید,آژیر,False,True,گذرا,هشیار کردن؛ خبردار کردن؛ اعلان کردن,False,,,
14,آسَغدن[۳۱],آسَغدن,آسَغ,؟,True,,مهیا کردن، فراهم کردن,False,,,
15,آسُغدن[۳۲],آسُغد,آسُغ,؟,True,,نیمه سوختن,False,,,
16,آسودن,آسود,آسای,؟,True,,,False,,,
17,آشامیدن[۳۳],آشامید,آشام,؟,True,گذرا,نوشیدن,False,,,
18,آشفتن,آشفت,آشوب,؟,؟,گذرا,,False,,,
19,آغازیدن,آغازید,آغاز,؟,؟,گذرا,,False,,,
20,آغالیدن,آغالید,آغال,؟,؟,گذرا,تحریک کردن، برانگیختن,False,,,
21,آغشتن,آغشت,آغار,؟,؟,گذرا,,False,,,
22,آغِستن [۳۴],آغِست,آغن,؟,؟,گذرا,پر کردن به زور، آکندن,False,,,
23,آغوشیدن/ آغوشتن[۳۵],آغوشید/آغوشت,آغوش,؟,؟,گذرا,در آغوش گرفتن,False,,,
24,آفریدن,آفرید,آفرین,True,True,گذرا,,False,,,
25,آفَندیدن[۳۶],آفندید,آفند,؟,True,,جنگ کردن، حمله کردن,False,,,
26,آکندن,آکند,آکن,True,True,گذرا,,False,,,
27,آگندن,آگند,آگن,؟,؟,,,False,,,
28,آگهیدن,آگهید,آگاه,؟,؟,,,False,,,
29,آگاهاندن,آگاهاند,آگاهان,False,False,گذرا,,False,,,
30,آگاهانیدن,آگاهانید,آگاهان,False,False,گذرا,,False,,,
31,آگیشیدن[۳۷],آگیشید,آگیش,False,False,گذرا,آویختن؛ درآویختن؛ آویزان شدن؛ پیچیدن,False,,,
32,آلودن,آلود,آلای,؟,؟,گذرا,,False,,,
33,آلُفتن[۳۸],آلُفت,آلوب,؟,؟,گذرا,آشفتن ، شوریده شدن,False,,,
34,آلیختن/آلیزیدن[۳۹],آلیختن/آلیزیدن,آلیز,؟,؟,گذرا,جفتک انداختن,False,,,
35,آمادن[۴۰],آماد,آمای,؟,؟,گذرا,آماده کردن,False,,,
36,آماردن,آمارد,آمار,؟,؟,,,False,,,
37,آماسیدن,آماسید,آماس,؟,؟,,ورم کردن,False,,,
38,آماهیدن[۴۱],آماهید,آماه,؟,؟,,,False,,,
39,آمدن,آمد,آی,True,True,,,False,, اومد, آ
40,آموختن,آموخت,آموز,؟,True,گذرا,,False,,,
41,آمودن,آمود,آمای,؟,؟,,,False,,,
42,آمیختن,آمیخت,آمیز,؟,True,گذرا,,False,,,
43,اَندمیدن[۴۲],اَندمید,اَندم,؟,True,,حسرت خوردن,False,,,
44,آوردن,آورد,آور,True,True,گذرا,,False,,, آر
45,آویختن,آویخت,آویز,؟,True,گذرا,,False,,,
46,آهنگیدن,آهنگید,آهنگ,False,False,,قصد کردن، اراده کردن برای کاری,False,,,
47,آهیختن,آهیخت,آهنج یا آهاز,False,False,,,False,,,
48,اَرزیدن,اَرزید,اَرز,True,True,,,False,,,
49,اَرغیدن[۴۳],اَرغید,اَرغ,False,؟,,خشمگین شدن، غضب کردن,False,,,
50,اَژَندیدن,اَژَندید,اَژَن,False,True,گذرا,,False,,,
51,اِشاندن[۴۴],اِشاند,اِشان,True,True,گذرا,,False,,,
52,اشنوسیدن[۴۵],اِشنوسید,اِشنوس,True,True,,عطسه کردن، اِشنوسه کردن,False,,,
53,اُفتادن/اُفتیدن,اُفتاد,اُفت,True,True,,,False,,,
54,اَفدیدن [۴۶],اَفدید,اَفد,X,True,گذرا,شگفتی کردن، تعجب کردن,False,,,
55,اَفراختن,اَفراخت,اَفراز,؟,؟,گذرا,,False,,,
56,اَفراشتن,اَفراشت,اَفراز,؟,True,گذرا,,False,,,
57,اَفروختن,اَفروخت,اَفروز,؟,True,گذرا,,False,,,
58,اَفزودن,اَفزود,اَفزا,True,True,گذرا,,False,,,
59,اَفژولیدن[۴۷],اَفژولید,اَفژول,True,True,گذرا,تحریک کردن,False,,,
60,اَفسُردن,اَفسُرد,اَفسُر,؟,؟,,,False,,,
61,اَفسودن/افساییدن[۴۸],اَفسود/اَفسایید,اَفسای,؟,؟,,جادو کردن,False,,,
62,اَفشاندن,اَفشاند,اَفشان,؟,؟,,,False,,,
63,اَفشُردن,اَفشُرد,اَفشُر,؟,؟,گذرا,,False,,,
64,اَفکَندن,اَفکَند,اَفکَن,False,True,گذرا,,False,,,
65,اَفگاردن[۴۹],اَفگارد,اَفگار,False,True,,زخمی کردن,False,,,
66,اَلفَنجیدن,اَلفَنجید,اَلفَنج,؟,؟,,,False,,,
67,اَلفَختن/اَلفاختن,اَلفَخت,اَلفاز,؟,؟,,,False,,,
68,اَلفیدن,اَلفید,؟,؟,؟,,,False,,,
69,اَنبازیدن,اَنبازید,اَنباز,؟,True,,شریک شدن،شراکت جُستن,False,,,
70,اَنباشتن,اَنباشت,اَنبار,؟,True,گذرا,,False,,,
71,اَنبودن,اَنبود,اَنبوی,؟,؟,,,False,,,
72,اَنبوسیدن,اَنبوسید,اَنبوس,؟,؟,,,False,,,
73,اَنبوشتن,اَنبوشت,اَنبوی,؟,؟,,,False,,,
74,اَنجالیدن[۵۰],اَنجالید,اَنجال,True,True,,,False,,,
75,اَنجامیدن,اَنجامید,اَنجام,True,True,,,False,,,
76,انجیدن[۵۱],اَنجید,اَنج,True,True,,,False,,,
